query_path,query_image,query_label,P@20,P@40,P@60
D:\BJTU_CV_Exp2\dataset\query\yk-95ccd6cd9aa831373d98ed85e8b4b963.jpg,yk-95ccd6cd9aa831373d98ed85e8b4b963.jpg,yk,0.7,0.525,0.4
D:\BJTU_CV_Exp2\dataset\query\yk-dwtutq13843780.jpg,yk-dwtutq13843780.jpg,yk,0.25,0.15,0.13333333333333333
D:\BJTU_CV_Exp2\dataset\query\zx-153521.png,zx-153521.png,zx,0.95,0.95,0.9333333333333333
D:\BJTU_CV_Exp2\dataset\query\zx-202405152208482.jpg,zx-202405152208482.jpg,zx,1.0,1.0,1.0
D:\BJTU_CV_Exp2\dataset\query\zx-202505071932591.jpg,zx-202505071932591.jpg,zx,0.9,0.85,0.7166666666666667
D:\BJTU_CV_Exp2\dataset\query\zx-20260511181548_156_105(1).jpg,zx-20260511181548_156_105(1).jpg,zx,0.35,0.275,0.25
D:\BJTU_CV_Exp2\dataset\query\zx-2h3r4.jpg,zx-2h3r4.jpg,zx,0.45,0.375,0.26666666666666666
D:\BJTU_CV_Exp2\dataset\query\zx-308r0208w0rf0f.jpg,zx-308r0208w0rf0f.jpg,zx,1.0,1.0,1.0
D:\BJTU_CV_Exp2\dataset\query\zx-cpyjkt5441hmlp.jpg,zx-cpyjkt5441hmlp.jpg,zx,1.0,1.0,1.0
D:\BJTU_CV_Exp2\dataset\query\zx-ec0f6e51cc0bb55a3595746e86f459c.jpg,zx-ec0f6e51cc0bb55a3595746e86f459c.jpg,zx,1.0,0.95,0.8333333333333334
D:\BJTU_CV_Exp2\dataset\query\zx-eusovs21094847.jpg,zx-eusovs21094847.jpg,zx,1.0,0.975,0.95
D:\BJTU_CV_Exp2\dataset\query\zx-hzihaxa453.jpg,zx-hzihaxa453.jpg,zx,1.0,1.0,1.0
D:\BJTU_CV_Exp2\dataset\query\zx-kufbw93vr9yvbeya.jpg,zx-kufbw93vr9yvbeya.jpg,zx,0.85,0.85,0.7833333333333333
D:\BJTU_CV_Exp2\dataset\query\zx-qwarewt1145141919.jpg,zx-qwarewt1145141919.jpg,zx,1.0,1.0,1.0
D:\BJTU_CV_Exp2\dataset\query\zx-sdlbp51278.jpg,zx-sdlbp51278.jpg,zx,1.0,1.0,1.0
D:\BJTU_CV_Exp2\dataset\query\zx-xgfafd54612121.jpg,zx-xgfafd54612121.jpg,zx,1.0,1.0,1.0
